rank,pattern,level,coverage,baseline_overall_accuracy,baseline_subgroup_accuracy,baseline_subgroup_f1,pattern_age_bucket,pattern_relationship,pattern_race,pattern_hours-per-week_bucket,pattern_marital-status,pattern_sex,pattern_education-num_bucket,pattern_capital-gain_bucket
1,25-34XXWifeWhiteX36-40X,4,199,0.8386142276,0.5000000000,0.4175824176,25-34,Wife,White,36-40,,,,
2,35-44XMarried-civ-spouseXWhiteFemale36-40X,5,199,0.8371347553,0.5500000000,0.4357366771,35-44,,White,36-40,Married-civ-spouse,Female,,
3,45-5410_12_some_college_assocXHusbandWhiteX41-50X,5,199,0.8355319936,0.6000000000,0.4500000000,45-54,Husband,White,41-50,,,10_12_some_college_assoc,
4,45-5410_12_some_college_assocMarried-civ-spouseXWhiteMale41-50X,6,199,0.8355319936,0.6000000000,0.4500000000,45-54,,White,41-50,Married-civ-spouse,Male,10_12_some_college_assoc,
5,45-5413_bachelorsMarried-civ-spouseXWhiteX36-40none,6,199,0.8356552829,0.6500000000,0.5121212121,45-54,,White,36-40,Married-civ-spouse,,13_bachelors,none
6,55-64XXXXX51-60none,3,198,0.8416964616,0.6000000000,0.5619047619,55-64,,,51-60,,,,none
7,55-6413_bachelorsXXXX36-40X,3,199,0.8391073850,0.6500000000,0.6419437340,55-64,,,36-40,,,13_bachelors,
8,XXMarried-civ-spouseWifeXX41-50X,3,199,0.8421896190,0.6500000000,0.6453333333,,Wife,,41-50,Married-civ-spouse,,,
9,X10_12_some_college_assocWidowedXWhiteXXX,3,199,0.8398471212,0.8000000000,0.7111111111,,,White,,Widowed,,10_12_some_college_assoc,
10,45-5410_12_some_college_assocXNot-in-familyXFemaleXX,4,199,0.8333127851,0.8500000000,0.7810810811,45-54,Not-in-family,,,,Female,10_12_some_college_assoc,
11,45-54XXHusbandXXXmedium,3,198,0.8323264702,0.8500000000,0.7810810811,45-54,Husband,,,,,,medium
12,45-54XMarried-civ-spouseXXMaleXmedium,4,198,0.8323264702,0.8500000000,0.7810810811,45-54,,,,Married-civ-spouse,Male,,medium
13,X10_12_some_college_assocMarried-civ-spouseXXX1-20X,3,199,0.8403402786,0.8000000000,0.8000000000,,,,1-20,Married-civ-spouse,,10_12_some_college_assoc,
14,25-34XMarried-civ-spouseXBlackXXX,3,198,0.8389840957,0.8000000000,0.8041666667,25-34,,Black,,Married-civ-spouse,,,
15,XXXNot-in-familyWhiteXXhigh,3,198,0.8306004192,0.7500000000,0.8142857143,,Not-in-family,White,,,,,high
16,X10_12_some_college_assocWidowedXXFemaleXnone,4,199,0.8397238318,0.8000000000,0.8444444444,,,,,Widowed,Female,10_12_some_college_assoc,none
17,35-4410_12_some_college_assocNever-marriedXXMaleXX,4,198,0.8371347553,0.9000000000,0.8777777778,35-44,,,,Never-married,Male,10_12_some_college_assoc,
18,XXDivorcedNot-in-familyBlackXXX,3,198,0.8387375170,0.9000000000,0.8862745098,,Not-in-family,Black,,Divorced,,,
19,XXDivorcedNot-in-familyXX51-60X,3,198,0.8419430403,0.9000000000,0.9000000000,,Not-in-family,,51-60,Divorced,,,
