age_bucket,workclass,education-num_bucket,marital-status,occupation,relationship,race,sex,hours-per-week_bucket,capital-gain_bucket,capital-loss_bucket,native-country_group,income
65+,missing,09_hs_grad,Widowed,missing,Not-in-family,White,Female,36-40,none,high,United-States,<=50K
65+,Private,09_hs_grad,Widowed,Exec-managerial,Not-in-family,White,Female,1-20,none,high,United-States,<=50K
65+,missing,10_12_some_college_assoc,Widowed,missing,Unmarried,Black,Female,36-40,none,high,United-States,<=50K
45-54,Private,04_grade_7_8,Divorced,Machine-op-inspct,Unmarried,White,Female,36-40,none,high,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Separated,Prof-specialty,Own-child,White,Female,36-40,none,high,United-States,<=50K
25-34,Private,09_hs_grad,Divorced,Other-service,Unmarried,White,Female,41-50,none,high,United-States,<=50K
35-44,Private,06_grade_10,Separated,Adm-clerical,Unmarried,White,Male,36-40,none,high,United-States,<=50K
65+,State-gov,14_16_graduate,Never-married,Prof-specialty,Other-relative,White,Female,1-20,none,high,United-States,>50K
65+,Federal-gov,09_hs_grad,Divorced,Prof-specialty,Not-in-family,White,Female,36-40,none,high,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Never-married,Craft-repair,Unmarried,White,Male,51-60,none,high,Other,>50K
45-54,Private,14_16_graduate,Divorced,Prof-specialty,Unmarried,Black,Female,21-35,none,high,United-States,>50K
35-44,Self-emp-not-inc,14_16_graduate,Never-married,Prof-specialty,Not-in-family,White,Male,41-50,none,high,United-States,>50K
45-54,Private,13_bachelors,Widowed,Other-service,Not-in-family,White,Female,1-20,none,high,United-States,>50K
25-34,Private,14_16_graduate,Separated,Exec-managerial,Not-in-family,White,Male,51-60,none,high,United-States,>50K
45-54,missing,14_16_graduate,Never-married,missing,Not-in-family,White,Male,36-40,none,high,United-States,>50K
45-54,Private,14_16_graduate,Divorced,Prof-specialty,Not-in-family,White,Male,36-40,none,high,United-States,>50K
45-54,Private,07_grade_11,Divorced,Transport-moving,Not-in-family,White,Male,61+,none,high,United-States,>50K
55-64,Private,14_16_graduate,Divorced,Exec-managerial,Not-in-family,White,Male,41-50,none,high,United-States,>50K
17-24,Private,10_12_some_college_assoc,Never-married,Handlers-cleaners,Not-in-family,Black,Male,36-40,none,high,Other,>50K
25-34,Private,13_bachelors,Separated,Sales,Not-in-family,White,Male,41-50,none,high,United-States,>50K
35-44,Private,13_bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,36-40,none,high,United-States,>50K
25-34,Private,07_grade_11,Separated,Sales,Not-in-family,White,Female,41-50,none,high,United-States,<=50K
55-64,Private,09_hs_grad,Divorced,Sales,Unmarried,White,Female,21-35,none,high,United-States,<=50K
